1	2
1	3
1	5
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
2	3
2	4
2	6
2	7
2	8
2	13
2	14
2	15
2	16
2	17
2	18
3	5
3	6
3	7
3	8
3	9
3	11
3	12
3	13
3	14
3	15
3	16
3	17
3	18
4	6
4	7
4	8
4	14
4	15
4	16
4	17
4	18
5	6
5	7
5	8
5	14
5	15
5	17
5	18
6	6
6	7
6	8
6	9
6	10
6	11
6	12
6	13
6	14
6	15
6	16
6	17
6	18
7	7
7	13
8	8
8	9
8	10
8	11
8	12
8	13
8	14
8	15
8	16
9	9
9	10
9	11
9	12
9	13
10	10
10	11
10	12
10	15
11	14
11	15
11	16
12	12
12	13
13	13
15	15
15	16
15	17
15	18
16	16
16	17
16	18
17	17
17	18
18	18
